iter,0, gw,658, gd,2143
iter,1, gw,463, gd,2079
iter,2, gw,143, gd,1831
iter,3, gw,394, gd,1624
iter,4, gw,219, gd,1448
iter,5, gw,136, gd,1486
iter,6, gw,127, gd,1474
iter,7, gw,138, gd,1447
iter,8, gw,327, gd,1331
iter,9, gw,109, gd,1250
iter,10, gw,221, gd,1199
iter,11, gw,106, gd,1122
iter,12, gw,287, gd,1135
iter,13, gw,275, gd,1226
iter,14, gw,75, gd,1330
iter,15, gw,79, gd,1299
iter,16, gw,137, gd,1235
iter,17, gw,160, gd,1217
iter,18, gw,120, gd,1250
iter,19, gw,123, gd,1263
iter,20, gw,67, gd,1264
iter,21, gw,80, gd,1274
iter,22, gw,61, gd,1307
iter,23, gw,66, gd,1258
iter,24, gw,57, gd,1225
iter,25, gw,86, gd,1237
iter,26, gw,62, gd,1301
iter,27, gw,41, gd,1348
iter,28, gw,76, gd,1218
iter,29, gw,129, gd,1250
iter,30, gw,133, gd,1266
iter,31, gw,70, gd,1352
iter,32, gw,66, gd,1455
iter,33, gw,80, gd,1468
iter,34, gw,71, gd,1459
iter,35, gw,110, gd,1391
iter,36, gw,199, gd,1321
iter,37, gw,384, gd,1274
iter,38, gw,105, gd,1311
iter,39, gw,112, gd,1340
iter,40, gw,47, gd,1369
iter,41, gw,89, gd,1460
iter,42, gw,75, gd,1475
iter,43, gw,84, gd,1392
iter,44, gw,108, gd,1425
iter,45, gw,72, gd,1373
iter,46, gw,63, gd,1331
iter,47, gw,104, gd,1304
iter,48, gw,55, gd,1321
iter,49, gw,83, gd,1236
iter,50, gw,92, gd,1232
iter,51, gw,160, gd,1248
iter,52, gw,36, gd,1214
iter,53, gw,42, gd,1238
iter,54, gw,49, gd,1235
iter,55, gw,45, gd,1252
iter,56, gw,52, gd,1283
iter,57, gw,31, gd,1314
iter,58, gw,50, gd,1313
iter,59, gw,60, gd,1342
iter,60, gw,82, gd,1346
iter,61, gw,22, gd,1354
iter,62, gw,28, gd,1350
iter,63, gw,56, gd,1321
iter,64, gw,37, gd,1334
iter,65, gw,21, gd,1350
iter,66, gw,26, gd,1369
iter,67, gw,25, gd,1430
iter,68, gw,65, gd,1522
iter,69, gw,25, gd,1542
iter,70, gw,21, gd,1538
iter,71, gw,24, gd,1436
iter,72, gw,41, gd,1429
iter,73, gw,44, gd,1371
iter,74, gw,31, gd,1262
iter,75, gw,25, gd,1275
iter,76, gw,25, gd,1257
iter,77, gw,31, gd,1241
iter,78, gw,26, gd,1291
iter,79, gw,54, gd,1296
iter,80, gw,25, gd,1342
iter,81, gw,47, gd,1345
iter,82, gw,28, gd,1330
iter,83, gw,30, gd,1279
iter,84, gw,26, gd,1322
iter,85, gw,26, gd,1284
iter,86, gw,31, gd,1302
iter,87, gw,25, gd,1264
iter,88, gw,49, gd,1277
iter,89, gw,25, gd,1273
iter,90, gw,22, gd,1296
iter,91, gw,22, gd,1277
iter,92, gw,42, gd,1290
iter,93, gw,38, gd,1327
iter,94, gw,27, gd,1322
iter,95, gw,21, gd,1289
iter,96, gw,27, gd,1339
iter,97, gw,27, gd,1290
iter,98, gw,21, gd,1275
iter,99, gw,28, gd,1338
iter,100, gw,25, gd,1290
iter,101, gw,24, gd,1308
iter,102, gw,93, gd,1323
iter,103, gw,88, gd,1273
iter,104, gw,28, gd,1325
