iter, 0, gw, 566, gd, 2204
iter, 1, gw, 269, gd, 2183
iter, 2, gw, 346, gd, 1959
iter, 3, gw, 208, gd, 1685
iter, 4, gw, 108, gd, 1608
iter, 5, gw, 245, gd, 1794
iter, 6, gw, 156, gd, 1848
iter, 7, gw, 421, gd, 1676
iter, 8, gw, 177, gd, 1537
iter, 9, gw, 368, gd, 1522
iter, 10, gw, 231, gd, 1505
iter, 11, gw, 167, gd, 1551
iter, 12, gw, 92, gd, 1481
iter, 13, gw, 128, gd, 1415
iter, 14, gw, 71, gd, 1458
iter, 15, gw, 72, gd, 1495
iter, 16, gw, 60, gd, 1527
iter, 17, gw, 222, gd, 1547
iter, 18, gw, 130, gd, 1493
iter, 19, gw, 92, gd, 1402
iter, 20, gw, 114, gd, 1417
iter, 21, gw, 74, gd, 1499
iter, 22, gw, 82, gd, 1530
iter, 23, gw, 69, gd, 1588
iter, 24, gw, 47, gd, 1595
iter, 25, gw, 80, gd, 1670
iter, 26, gw, 32, gd, 1640
iter, 27, gw, 65, gd, 1660
iter, 28, gw, 73, gd, 1686
iter, 29, gw, 122, gd, 1583
iter, 30, gw, 135, gd, 1456
iter, 31, gw, 219, gd, 1489
iter, 32, gw, 98, gd, 1452
iter, 33, gw, 59, gd, 1499
iter, 34, gw, 125, gd, 1481
iter, 35, gw, 60, gd, 1547
iter, 36, gw, 55, gd, 1616
iter, 37, gw, 91, gd, 1615
iter, 38, gw, 187, gd, 1635
iter, 39, gw, 91, gd, 1669
iter, 40, gw, 58, gd, 1633
iter, 41, gw, 42, gd, 1609
iter, 42, gw, 63, gd, 1557
iter, 43, gw, 80, gd, 1583
iter, 44, gw, 76, gd, 1516
iter, 45, gw, 36, gd, 1480
iter, 46, gw, 39, gd, 1603
iter, 47, gw, 37, gd, 1598
iter, 48, gw, 49, gd, 1582
iter, 49, gw, 32, gd, 1572
iter, 50, gw, 39, gd, 1588
iter, 51, gw, 69, gd, 1564
iter, 52, gw, 27, gd, 1590
iter, 53, gw, 62, gd, 1545
iter, 54, gw, 63, gd, 1547
iter, 55, gw, 26, gd, 1566
iter, 56, gw, 58, gd, 1514
iter, 57, gw, 39, gd, 1491
iter, 58, gw, 86, gd, 1505
iter, 59, gw, 26, gd, 1489
iter, 60, gw, 45, gd, 1546
iter, 61, gw, 55, gd, 1477
iter, 62, gw, 33, gd, 1548
iter, 63, gw, 30, gd, 1522
iter, 64, gw, 43, gd, 1525
iter, 65, gw, 53, gd, 1491
iter, 66, gw, 29, gd, 1503
iter, 67, gw, 25, gd, 1479
iter, 68, gw, 50, gd, 1472
